Start,End,Best Matrix,Best M. At,Time Taken,CUDA Memory Used,CPU Memory,Time
1,4,0.15912805852435885,1,333.14726853370667,0.0,675.83,2023:03:17 14:27:06
5,6,0.18812201444260374,-2,310.63556432724,0.0,794.64,2023:03:18 01:37:08
5,6,0.18812201444260374,-2,639.2234992980957,0.0,792.2,2023:03:18 01:42:37
7,7,0.20039016079759883,-2,287.06797337532043,0.0,837.52,2023:03:18 02:05:19
1,2,0.16920354678517296,1,301.7938687801361,0.0,737.72,2023:03:18 16:59:03
1,2,0.1740871781394595,2,600.157737493515,0.0,737.97,2023:03:18 17:04:01
1,2,0.17756970439638411,1,297.9796793460846,337653760,0,2023:03:18 22:21:23
1,2,0.17756970439638411,1,589.700033903122,338731008,0,2023:03:18 22:26:15
