Start,End,Best Matrix,Best M. At,Jaccard Index,Time Taken,CUDA Memory Used,CPU Memory,Time
1,40,0.19957594573497772,5,0.0,185.4897997379303,161,0,2023:03:24 22:03:46
1,40,0.20802423357963562,10,0.0,467.116268157959,161,0,2023:03:24 22:08:28
1,40,0.21353057026863098,15,0.0,659.718462228775,161,0,2023:03:24 22:11:40
1,40,0.21353057026863098,15,0.0,848.4812514781952,161,0,2023:03:24 22:14:49
1,40,0.21825578808784485,25,0.0,1039.0171649456024,161,0,2023:03:24 22:18:00
1,40,0.22044460475444794,30,0.0,1227.828917503357,161,0,2023:03:24 22:21:08
1,40,0.22044460475444794,30,0.0,1417.221096754074,161,0,2023:03:24 22:24:18
1,40,0.22316160798072815,40,0.0,1608.2933161258698,161,0,2023:03:24 22:27:29
