Start,End,Best Matrix,Best M. At,Jaccard Index,Time Taken,CUDA Memory Used,CPU Memory,Time
1,20,0.16527998447418213,5,0.0,194.41005206108093,225,0,2023:03:25 02:52:24
1,20,0.17337292432785034,10,0.0,390.7774932384491,226,0,2023:03:25 02:55:40
1,20,0.18343974649906158,15,0.0,589.034820318222,226,0,2023:03:25 02:58:59
1,20,0.19302698969841003,20,0.0,785.8781974315643,226,0,2023:03:25 03:02:15
21,30,0.19575361907482147,25,0.0,203.61089324951172,7,0,2023:03:25 03:08:18
21,30,0.20111267268657684,30,0.0,399.32728576660156,7,0,2023:03:25 03:11:33
