Start,End,Best Matrix,Best M. At,Jaccard Index,Time Taken,CUDA Memory Used,CPU Memory,Time
1,30,0.18071554601192474,5,0.0,192.85786485671997,324,0,2023:03:24 22:54:29
1,30,0.20283620059490204,10,0.0,388.1072688102722,324,0,2023:03:24 22:57:44
1,30,0.21800775825977325,15,0.0,630.2868320941925,324,0,2023:03:24 23:01:46
1,30,0.22275875508785248,20,0.0,830.1630465984344,324,0,2023:03:24 23:05:06
1,30,0.22381281852722168,25,0.0,1025.689617395401,324,0,2023:03:24 23:08:21
1,30,0.22381281852722168,25,0.0,1226.9596772193909,324,0,2023:03:24 23:11:43
