Start,End,Best Matrix,Best M. At,Time Taken,CUDA Memory Used,CPU Memory,Time
1,2,0.37675703565279645,1,2336.627423763275,0.0,889.94,2023:03:17 17:48:54
1,2,0.4693955821650369,2,5194.664139032364,0.0,893.49,2023:03:17 18:36:32
